"","web.scraper.start.url","Seat","Party","Candidate","Share","Count.1","Count.2","Count.3","Count.4","Count.5","Count.6","Count.7","Count.8","Count.9","Count.10","Count.11","Count.12","Count.13","Count.14","Count.15","Constituency","n","total_const_vote","seats","Quota","Total_Transfers","FP_Quota_pct","Trans_Quota_pct","Elected","First_Name","gender","proportion_male","proportion_female"
"311","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",0,"FF","John Brassil (FF)","7.0%",5431,234,179,245,659,482,452,973,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,3224,0.419544225569718,0.249053688682889,0,"John","male",0.99,0.01
"312","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",3,"FG","Brendan Griffin (FG)","13.3%",10296,542,235,188,994,2448,0,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,4407,0.795365005793743,0.340440324449594,1,"Brendan","male",0.99,0.01
"313","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",1,"IND","Michael Healy-Rae (IND)","21.7%",16818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,0,1.2991888760139,0,1,"Michael","male",0.99,0.01
"314","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",0,"FF","Frank O'Rourke (FF)","12.4%",6336,260,349,90,203,718,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,1620,0.621847089999018,0.158994994602022,0,"Frank","male",0.99,0.01
"315","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",0,"IND","David Monaghan (IND)","0.4%",197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,0,0.019334576504073,0,0,"David","male",0.99,0.01
"316","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",3,"FG","Bernard Durkan (FG)","10.7%",5447,75,388,96,2515,1737,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,4811,0.534596133084699,0.472175875944646,1,"Bernard","male",0.98,0.02
"317","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",0,"FG","Anthony Lawlor (FG)","7.1%",3621,72,178,49,0,0,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,299,0.355383256453038,0.0293453724604966,0,"Anthony","male",0.99,0.01
"318","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",4,"FF","James Lawless (FF)","13.8%",7029,117,211,60,492,1448,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,2328,0.689861615467661,0.228481695946609,1,"James","male",0.99,0.01
"319","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",0,"LAB","Emmet Stagg (LAB)","5.4%",2751,102,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,102,0.269997055648248,0.0100107959564236,0,"Emmet","male",0.97,0.03
"320","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",0,"REN","Séamus í“ Riain (REN)","1.9%",967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,0,0.0949062714692315,0,0,"Séamus","male",1,0
"321","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",0,"IND","Wayne Swords (IND)","0.2%",123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,0,0.0120718421827461,0,0,"Wayne","female",NA,NA
"322","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",1,"SD","Catherine Murphy (SD)","19.3%",9808,372,828,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,1200,0.962606732751006,0.117774070075572,1,"Catherine","female",0.02,0.98
"323","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",2,"SF","Réada Cronin (SF)","17.1%",8705,487,316,115,109,1347,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,2374,0.854352733339876,0.232996368632839,1,"Réada","female",NA,NA
"324","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",0,"GP","Vincent P. Martin (GP)","10.0%",5100,373,428,310,463,0,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,1574,0.50053979782118,0.154480321915792,0,"Vincent","female",NA,NA
"325","https://irelandelection.com/electiondetail.php?elecid=238&constitid=31&electype=1",0,"SOL-PBP","Paul Mahon (SOL-PBP)","1.7%",861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare North",12,50945,4,10189,0,0.0845028952792227,0,0,"Paul","male",0.99,0.01
"326","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",0,"FF","Suzanne Doyle (FF)","7.6%",3580,85,38,79,0,0,0,0,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,202,0.378755818874312,0.0213711383834109,0,"Suzanne","female",0.02,0.98
"327","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",0,"SOL-PBP","Róisí­n Uí­ Bhroin (SOL-PBP)","1.3%",598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,0,0.0632670334320779,0,0,"Róisí­n","female",NA,NA
"328","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",0,"IND","Fiona McLoughlin-Healy (IND)","7.7%",3616,114,208,283,250,0,0,0,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,855,0.382564536606009,0.0904570461278036,0,"Fiona","female",0.03,0.97
"329","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",0,"FF","Fiona O'Loughlin (FF)","12.5%",5927,58,58,133,2001,759,1434,55,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,4498,0.627063055438003,0.475878121032586,0,"Fiona","female",0.03,0.97
"330","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",4,"IND","Cathal Berry (IND)","12.1%",5742,219,215,325,375,1394,2423,247,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,5198,0.607490478205671,0.549936521371138,1,"Cathal","female",NA,NA
"331","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",3,"FG","Martin Heydon (FG)","17.1%",8069,51,98,349,443,641,2025,34,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,3641,0.853681760473974,0.385209479475243,1,"Martin","male",0.98,0.02
"332","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",0,"Aon","Anita Mhic Gib (Aon)","1.5%",697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,0,0.0737410071942446,0,0,"Anita","female",NA,NA
"333","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",0,"LAB","Mark Wall (LAB)","12.5%",5899,75,168,506,336,500,0,0,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,1585,0.62410071942446,0.167689377909437,0,"Mark","male",0.99,0.01
"334","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",2,"SF","Patricia Ryan (SF)","21.5%",10155,306,258,353,223,857,0,0,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,1997,1.07437579348286,0.211278036394414,1,"Patricia","female",0.02,0.98
"335","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",0,"GP","Ronan Maher (GP)","3.5%",1639,115,390,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,505,0.173402454506983,0.0534278459585273,0,"Ronan","male",0.99,0.01
"336","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",0,"SD","Linda Hayden (SD)","2.8%",1338,136,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,136,0.141557342361405,0.0143884892086331,0,"Linda","female",NA,NA
"337","https://irelandelection.com/electiondetail.php?elecid=238&constitid=32&electype=1",1,"FF","Seán í“ Fearghaí­l (FF)","n/a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kildare South",12,47260,4,9452,0,0,0,1,"Seán","male",NA,NA
"338","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",0,"LAB","Noel Tuohy (LAB)","2.9%",2011,585,68,142,384,0,0,0,0,0,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,1179,0.173796560366433,0.101892662691211,0,"Noel","male",0.93,0.07
"339","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",0,"FG","Marcella Corcoran Kennedy (FG)","6.5%",4519,66,9,49,23,117,134,240,38,0,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,676,0.39054532883934,0.0584219168611183,0,"Marcella","female",0.02,0.98
"340","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",0,"IND","John Leahy (IND)","5.0%",3463,262,137,14,187,129,629,351,80,417,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,2206,0.299282689482327,0.190649036384064,0,"John","male",0.99,0.01
"341","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",0,"SOL-PBP","Stephen Tynan (SOL-PBP)","1.3%",910,1218,115,30,0,0,0,0,0,0,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,1363,0.0786448880822747,0.117794486215539,0,"Stephen","male",0.99,0.01
"342","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",1,"SF","Brian Stanley (SF)","24.0%",16654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,0,1.43928787485956,0,1,"Brian","male",0.99,0.01
